treatment_id,treatment_name,cost
1,Basic Checkup,$250.00 
2,Dental Cleaning,$150.00 
3,Eye Examination,$200.00 
4,Blood Test,$300.00 
5,X-Ray,$400.00 
6,MRI Scan,$800.00 
7,Ultrasound,$600.00 
8,Physical Therapy,$350.00 
9,Chiropractic Adjust.,$200.00 
10,Vaccination,$150.00 
11,Allergy Testing,$400.00 
12,Colonoscopy,$900.00 
13,Endoscopy,$700.00 
14,EKG Test,$500.00 
15,Mammogram,$600.00 
16,CT Scan,$900.00 
17,Surgery Consultation,$450.00 
18,Dermatology Consult.,$300.00 
19,Genetic Testing,$750.00 
20,Psychiatry Session,$400.00 
21,Laser Treatment,$700.00 
22,Cosmetic Surgery,"$1,500.00 "
23,IV Therapy,$550.00 
24,Acupuncture,$300.00 
25,Spa Treatment,$200.00 
26,Executive Health Scn,"$1,200.00 "
27,Sports Medicine,$600.00 
28,Nutritional Counseling,$250.00 
29,Cardiology Consult.,$800.00 
30,Pulmonary Function Tst,$350.00 
